"last_name, first_name","player_id","year","arm_angle","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z"
"Bernardino, Brennan",657514,2025,17.6,,,,,"83.9","2370","-2.8","-36.8","79.8","1601","15.2","-42.6","79.2","2688","-15.6","-42.8","90.7","2174","16","-28.4","86.5","2315","-1.9","-30.8",,,,
"Uribe, Abner",682842,2025,38.3,"99.8","2405","-6.6","-13.7","87.3","2515","10.5","-32.2",,,,,,,,,"98.7","2310","-13.9","-22",,,,,,,,
"Kranick, Max",668820,2025,42.3,"95.5","2278","-3","-12.9","89.9","2181","3.1","-26.1",,,,,"79.1","2478","12.5","-52.5","95.7","2258","-8.9","-13.8",,,,,,,,
"Bradish, Kyle",680694,2025,56.3,"94.4","2416","1.5","-14.6","87","2589","12.2","-36.2",,,,,"84","2596","5.3","-51.2","94.8","2161","-11.5","-16.6",,,,,,,,
"Silseth, Chase",681217,2025,32.7,"95.4","2383","-7.8","-14.2",,,,,,,,,,,,,"94.9","2319","-13.5","-20.9",,,,,"86.8","1052","-10.4","-33.9"
"Shuster, Jared",694363,2025,31.6,"92.6","2182","11.5","-18.8","86","2266","-1.6","-31.4","84.3","1798","12.6","-38.3",,,,,"91.8","2078","16.9","-24.7",,,,,,,,
"Winans, Allan",642216,2025,28.5,"89.7","2159","-10.6","-21.5",,,,,"82.8","2070","-15.2","-39.6","76","2314","6.4","-57.9","89.9","2187","-16.5","-28.2",,,,,,,,
"Rasmussen, Drew",656876,2025,54.9,"95.8","2481","-4.1","-12.4",,,,,"89.4","1097","-8.9","-29.5","80.5","2765","5.1","-53.9","95.4","2418","-14.4","-16.9","90.3","2704","4.5","-29.4",,,,
"Miller, Bobby",676272,2025,45.2,"97.6","2214","-8.8","-12.1","88.6","2414","5.1","-33.7","86.1","2183","-19.4","-28.6","79.1","2729","8.4","-59.3","97.2","2250","-14.3","-13.2",,,,,,,,
"Estrada, Jeremiah",669093,2025,66.4,"97.9","2196","-2","-9.2","88.5","2204","4.4","-31.9",,,,,,,,,,,,,,,,,"83.7","1426","-10.9","-29"
"Kinley, Tyler",641755,2025,45.9,"95.1","2385","-2.4","-15.5","87.4","2556","2.2","-32.8","87.1","1644","-10","-25.8","83.5","2743","3.3","-46.9",,,,,,,,,,,,
"Hiraldo, Yaramil",682274,2025,62.1,"94.9","2334","-4.8","-10.3","86.5","2282","4.1","-31.9","86.9","1484","-9.1","-26.9",,,,,,,,,,,,,,,,
"Gervase, Paul",801434,2025,30.6,"93.8","2187","-5.8","-15.4","84.2","2400","5.2","-40.7",,,,,,,,,,,,,"89.8","2319","2.8","-23.7",,,,
"Saalfrank, Andrew",685314,2025,48.8,"89.2","2359","-0.8","-25.3",,,,,,,,,"79.7","2202","-8.1","-52.7","89.3","2293","8.3","-29.3",,,,,,,,
"King, John",667463,2025,28.8,"93.3","2218","5.4","-21","84.3","2887","-4.8","-40.2","85.7","1707","15.2","-35.1","80.1","2941","-9.2","-56.2","93","2244","14.4","-28.7",,,,,,,,
"Burke, Brock",656271,2025,40.9,"96.1","2259","8.4","-14","87.9","2220","1.1","-30.4","88.8","2115","15.2","-29.7",,,,,"93.5","2059","14.9","-20.9",,,,,,,,
"Kershaw, Clayton",477132,2025,55.7,"89","2311","-0.1","-16.9","85.7","2484","-4.5","-29.2",,,,,"72.3","2242","-3.9","-67","89.3","2329","7.8","-17.9",,,,,"83.1","1552","9","-26.8"
"Cameron, Noah",702070,2025,57.9,"92.3","2288","4.5","-15.2","84.2","2534","-3","-39.5","81.3","1513","10.9","-30.1","80.9","2394","-3.4","-52.5",,,,,"88.2","2461","-3.8","-28.5",,,,
"De Los Santos, Enyel",660853,2025,23.3,"96.2","2288","-10.7","-16.7","88.3","2213","1.3","-28.6","87.6","1914","-16.3","-28.1",,,,,,,,,,,,,,,,
