Name,key_mlbam
Eddie Zydowsky,836268
Shinnosuke Ogasawara,829272
Evan Roberts,827715
Dick Baker,827155
Carl Fiore,827143
Hal Kollar,827136
Sheriff Robinson,827124
Lauren Wiser,823823
Mitch Plassmeyer,820934
José Fermin,820862
Eddie Boyd,820819
Fred Daniels,820814
William Davis,820812
Josh Devoe,820811
Doc Dudley,820810
Willis Flournoy,820809
Jelly Gardner,820808
Bingo DeMoss,820807
Mo Harris,820805
Thurman Jennings,820802
Cecil Johnson,820800
Isaac Lane,820799
Monk Johnson,820797
Joe Lewis,820796
Nick Logan,820793
Steel Arm Johnny Taylor,820787
Leroy Williams,820786
James Abernathy,820781
Jim Abbott,820780
Eufemio Abreu,820777
Juan Abreu,820775
,820771
Emery Adams,820766
Alex Albritton,820757
Thomas Albright,820756
Johnny Albertson,820755
Buck Alexander,820748
Koke Alexander,820746
Spencer Alexander,820745
Chuffie Alexander,820744
Ted Alexander,820743
Ángel Alfonso,820739
Alex Allen,820738
Clifford Allen,820737
Cliney Allen,820736
Buddy Allen,820735
Half Pint Allen,820734
Hap Allen,820733
Hosea Allen,820732
Major Allen,820731
Newt Allen,820730
Toussaint Allen,820728
Todd Allen,820727
Moody Allison,820726
Rogelio Alonso,820722
Raúl Álvarez,820721
Bill Anderson,820717
Fireman Anderson,820716
C. Anderson,820712
Bubbles Anderson,820711
Bobby Anderson,820710
Fast Ball Anderson,820709
Lewis Anderson,820708
Roland Anderson,820707
Orinthal Anderson,820703
Pop Andrews,820702
Jabbo Andrews,820700
Curley Andrews,820699
Gideon Applegate,820697
Red Applegate,820695
Pedro Arango,820693
Luke Archer,820691
Mario Arencibia,820687
Hipolito Arenas,820684
Mario Ariosa,820683
Pablo Armenteros,820678
Felipe Armas,820676
Jimmie Armstead,820673
Buddy Armour,820672
Paul Arnold,820671
Mule Armstrong,820669
Joaquín Arumís,820663
Rudolph Ash,820656
Carlos Ascanio,820655
Orlando Asbury,820654
Joe Atkins,820653
Abe Atkins,820652
Earl Ashby,820649
Raymond Austin,820647
Frankie Austin,820646
Skip Avery,820643
Russell Awkard,820642
Julio Baez,820628
Alonza Bailey,820626
Babe Bagby,820623
D. Bailey,820622
Edgar Baker,820620
Percy Bailey,820618
Rufus Baker,820617
Henry Baker,820615
Tiny Baldwin,820614
Pedro Ballester,820610
Walter Ball,820609
Sam Bankhead,820607
Fred Bankhead,820606
Norman Banks,820605
G. Banks,820604
F. Banks,820603
Manuel Baranda,820602
Bud Barbee,820601
Charles Banks,820600
Jesse Barber,820599
Lamb Barbee,820598
Bull Barbour,820597
Sam Barber,820595
Bill Barnes,820594
Marvin Barker,820592
Fred Barnes,820591
Rube Barnes,820589
John Barnes,820588
Harry Barnes,820587
Herb Barnhill,820585
Vet Barnes,820584
Vic Barnett,820583
Dave Barnhill,820582
Bernardo Baró,820581
James Barnhill,820579
Sapho Bartlett,820575
Sherman Barton,820574
Hop Bartlett,820572
Pepper Bassett,820570
Ray Basham,820568
Leroy Bass,820567
Ray Battle,820566
Harry Bauchman,820564
Rufus Battle,820563
Marcelino Bauza,820562
William Baynard,820561
Darius Bea,820559
Hank Baylis,820558
John Beckwith,820557
Agustín Bejerano,820555
Giovanni Beale,820554
Skinner Belfield,820550
Abe Bell,820549
Cliff Bell,820547
Herman Bell,820546
Fred Bell,820543
Joe Bell,820542
William Bell,820541
Jake Bell,820540
W. Bell,820539
Jute Bell,820538
Lefty Bell,820537
Bradford Bennett,820531
Jerry Benjamin,820530
Don Bennett,820528
Cleo Benson,820527
Gene Benson,820526
George Bennette,820525
Jimmie Bennett,820524
Sam Bennett,820523
Plácido Bernal,820522
Cannonball Berry,820521
Charlie Beverly,820517
Ross Best,820514
Jimmy Binder,820512
Bill Binga,820511
Rainey Bibbs,820509
Bingo Bingham,820508
Jack Biran,820506
John Bissant,820505
Charlie Biot,820504
C. Bishop,820503
Leo Birdine,820502
James Bizzle,820501
Howard Black,820495
Cliff Blackmon,820491
Henry Blackmon,820490
Hugh Blackburn,820489
Bill Blair,820488
Garnett Blair,820487
Lonnie Blair,820486
Frank Blake,820485
Charlie Blackwell,820484
Carlos Blanco,820483
Chester Blanchard,820482
Oliver Blakeney,820481
Heberto Blanco,820479
Fred Blaylock,820477
Frank Blattner,820475
Larry Bleach,820474
Fox Blevins,820469
George Boggs,820467
George Board,820466
Virgil Blueitt,820465
Lucas Boada,820464
Willie Bobo,820463
Pete Booker,820457
Country Brown,820456
Alonzo Boone,820455
Ted Bond,820454
Lefty Boone,820451
Oscar Boone,820449
Kid Boots,820448
José Borges,820447
Mario Borroto,820445
Lefty Bowe,820441
Lyman Bostock,820440
Fred Bostick,820439
Bob Boston,820438
Chuck Bowen,820437
Julie Bowers,820435
Lefty Bowers,820433
Emmett Bowman,820429
Fred Boyd,820428
Ollie Boyd,820426
Jimmy Boyd,820424
Doc Bracken,820422
Phil Bradley,820421
Bill Bradford,820418
Frank Bradley,820417
Charlie Bradford,820416
Farmer Brady,820414
Red Bradley,820413
Provine Bradley,820412
Ramón Bragaña,820406
Jesse Bragg,820405
Archie Brathwaite,820404
Slim Branham,820402
George Branigan,820400
Clarkson Brazelton,820398
Eugene Bremer,820397
James Bray,820395
Chet Brewer,820392
Sherwood Brewer,820390
Bo Briggery,820389
Joe Bright,820388
Otto Briggs,820387
George Britt,820383
John Britton,820382
Jesse Briscoe,820381
Fred Brokaw,820377
Ameal Brooks,820375
Irvin Brooks,820372
Jess Brooks,820369
Joe Brooks,820368
J. B. Broom,820367
Sidney Brooks,820366
Alex Broome,820364
B. L. Brown,820351
Benny Brown,820350
Barney Brown,820349
B. Brown,820348
Bud Brown,820345
Curtis Brown,820344
Clarence Brown,820343
Elmer Brown,820341
Earl Brown,820340
Dave Brown,820337
George Brown,820336
Harry Brown,820331
Jesse Brown,820330
James Brown,820329
J. Brown,820328
Jim Brown,820325
John Brown,820324
Joe Brown,820323
Larry Brown,820322
Maywood Brown,820321
Mike Brown,820320
Ossie Brown,820318
Scrappy Brown,820314
Ronnie Brown,820312
T. J. Brown,820310
Ted Brown,820309
Clarence Bruce,820306
Lloyd Bruce,820305
Jack Bruton,820301
R. B. Bryant,820300
Allen Bryant,820299
Ches Buchanan,820296
James Buford,820291
Harry Buckner,820288
Earl Bumpus,820287
Ora Buford,820286
Buddy Burbage,820285
Willie Bunn,820283
Louis Burgee,820282
Edgar Burch,820281
Walter Burch,820280
Ralph Burgin,820278
Ernest Burke,820277
P. Burgess,820275
P. Burgett,820274
Joe Burke,820271
Samuel Burris,820267
Willie Burnham,820266
Tex Burnett,820265
Willie Burns,820264
Bill Burton,820263
Dick Burton,820261
Jim Busby,820260
Sammy Burton,820258
Maurice Busby,820255
Luis Bustamante,820254
Herbert Buster,820253
Ed Butler,820250
Tommy Butts,820249
Subby Byas,820248
Bill Byrd,820247
