"last_name, first_name",player_id,year,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_release_x,ch_release_z,ch_extension,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_release_x,cu_release_z,cu_extension,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_release_x,fc_release_z,fc_extension,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_release_x,ff_release_z,ff_extension,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_release_x,sl_release_z,sl_extension,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_release_x,si_release_z,si_extension,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_release_x,fs_release_z,fs_extension
"Abbott, Andrew",671096,2025,84.8,1984.0,15.2,10.2,2.57,6.03,6.3,81.0,2800.0,-10.0,-3.2,2.48,6.12,6.2,88.6,2501.0,-0.5,8.5,2.54,6.02,6.3,92.8,2275.0,9.1,16.2,2.53,5.99,6.3,82.8,2782.0,-11.4,3.4,2.52,6.03,6.3,,,,,,,,,,,,,,
"Abel, Mick",690953,2025,89.1,1704.0,-10.1,3.1,-1.69,5.65,6.8,82.7,2672.0,9.8,-9.6,-1.64,5.62,6.8,,,,,,,,96.4,2544.0,-8.3,16.2,-1.7,5.67,6.8,84.5,2781.0,14.2,-3.0,-1.68,5.44,7.0,95.4,2469.0,-15.0,9.9,-1.73,5.67,6.7,,,,,,,
"Abner, Philip",691769,2025,,,,,,,,,,,,,,,,,,,,,,90.4,2393.0,-2.3,13.5,2.63,5.69,6.5,79.5,2346.0,-10.2,1.0,2.86,5.47,6.4,,,,,,,,,,,,,,
"Abreu, Bryan",650556,2025,91.1,1690.0,-15.9,4.6,-2.64,5.4,6.7,,,,,,,,,,,,,,,97.3,2313.0,-6.6,16.6,-2.41,5.55,6.6,86.5,2923.0,8.5,-6.1,-2.59,5.74,6.5,96.0,2171.0,-16.4,11.5,-2.71,5.29,6.6,,,,,,,
"Acton, Garrett",670183,2025,86.4,2098.0,-14.8,12.0,-2.08,5.99,6.0,,,,,,,,,,,,,,,94.2,2488.0,-5.3,18.9,-1.92,6.16,5.9,,,,,,,,,,,,,,,,,,,,,
"Adam, Jason",592094,2025,88.2,2041.0,-16.1,3.6,-1.09,6.38,6.3,,,,,,,,85.9,2516.0,1.8,5.4,-0.96,6.42,6.4,94.6,2586.0,-8.0,18.7,-0.98,6.44,6.5,77.5,2573.0,15.3,-3.6,-1.09,6.35,6.2,,,,,,,,,,,,,,
"Adams, Travis",701519,2025,87.4,1943.0,-15.3,4.8,-1.93,5.69,6.3,79.1,2468.0,8.2,-9.0,-2.01,5.9,6.1,90.8,2513.0,4.9,8.1,-2.15,5.97,6.1,94.8,2410.0,-5.3,15.3,-2.03,5.93,6.2,85.6,2325.0,5.2,-0.1,-2.27,5.74,6.3,94.1,2231.0,-13.7,6.9,-2.55,5.75,6.3,,,,,,,
"Adcock, Ty",686654,2025,,,,,,,,,,,,,,,93.1,2205.0,3.4,9.7,-1.23,6.0,6.3,97.1,2172.0,-5.6,17.1,-1.12,6.03,6.3,86.9,2199.0,3.0,-1.5,-1.28,6.05,6.2,94.9,2233.0,-12.6,10.6,-1.1,6.13,6.2,87.6,876.0,-8.9,5.3,-1.36,6.17,6.0
"Agnos, Zach",688642,2025,,,,,,,,,,,,,,,92.7,2324.0,1.0,7.3,-1.87,5.86,6.0,95.8,2364.0,-8.2,14.7,-1.64,5.95,6.1,84.9,2649.0,10.1,-4.7,-1.89,5.9,6.0,,,,,,,,86.7,1429.0,-10.8,2.0,-1.87,5.85,6.1
"Akin, Keegan",669211,2025,86.6,2066.0,16.9,9.0,1.9,5.75,5.8,,,,,,,,,,,,,,,93.7,2371.0,11.8,17.2,1.81,5.95,5.7,85.6,2582.0,-3.6,2.8,1.96,5.79,5.6,,,,,,,,,,,,,,
"Alcala, Jorge",660896,2025,90.5,2400.0,-14.8,12.5,-2.46,6.53,5.9,85.4,2598.0,4.0,-4.8,-1.95,6.65,5.9,,,,,,,,97.4,2482.0,-8.9,17.7,-2.03,6.63,5.8,89.9,2482.0,3.3,4.9,-2.16,6.59,5.9,96.8,2227.0,-15.0,11.9,-1.86,6.62,5.9,,,,,,,
"Alcantara, Sandy",645261,2025,90.4,2091.0,-17.4,4.8,-1.73,5.94,6.1,85.3,2442.0,2.7,-1.5,-1.72,5.97,6.0,,,,,,,,97.7,2285.0,-14.1,13.0,-1.66,5.98,6.0,89.4,2348.0,1.0,4.9,-1.68,5.97,6.0,97.1,2321.0,-17.2,8.5,-1.74,5.94,6.0,,,,,,,
"Aldegheri, Sam",691951,2025,82.2,1808.0,14.1,9.6,2.0,5.78,6.0,75.3,2145.0,-12.7,-9.4,1.88,6.02,5.6,,,,,,,,91.6,2353.0,3.9,16.1,1.79,6.15,5.7,82.4,2318.0,-4.3,-2.7,1.88,6.07,5.7,,,,,,,,,,,,,,
"Alexander, Jason",669920,2025,80.3,1764.0,-17.1,1.2,-1.46,5.53,6.6,,,,,,,,87.2,2208.0,0.1,6.6,-1.64,5.53,6.6,91.9,2270.0,-13.6,11.9,-1.41,5.77,6.4,78.5,2626.0,16.3,-0.2,-1.94,5.34,6.5,90.9,2054.0,-16.5,1.3,-1.63,5.44,6.5,,,,,,,
"Alexander, Scott",518397,2025,83.5,1485.0,8.6,3.1,1.26,5.57,6.3,,,,,,,,,,,,,,,,,,,,,,83.2,2409.0,-3.6,-2.3,1.71,5.61,6.2,91.3,2192.0,13.1,3.2,1.44,5.59,6.3,,,,,,,
"Alexander, Tyler",641302,2025,83.3,1519.0,14.5,2.5,1.95,5.37,6.3,,,,,,,,86.9,2344.0,-1.3,9.4,1.77,5.53,6.2,90.8,2235.0,9.3,15.9,1.76,5.58,6.2,80.2,2484.0,-12.3,4.8,2.02,5.24,6.3,90.5,2097.0,16.1,9.3,1.87,5.42,6.2,,,,,,,
"Allard, Kolby",663465,2025,81.4,1547.0,14.1,6.3,2.14,5.56,5.8,72.1,1882.0,-7.6,-13.1,1.91,5.59,5.9,84.9,2039.0,-4.7,6.7,2.0,5.39,6.3,90.1,2030.0,6.1,16.2,2.05,5.31,6.4,,,,,,,,90.5,2005.0,13.1,12.8,2.01,5.29,6.4,,,,,,,
